enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
19437,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,Oct-49,Pvt Ltd,,105
394,city_73,0.754,,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,29
7683,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,,,1,10
22849,city_116,0.743,,Has relevent experience,no_enrollment,,,,50-99,Pvt Ltd,never,12
17189,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,4,43
28610,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,18
25608,city_165,0.903,,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,>4,8
22139,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,100-500,Pvt Ltd,>4,8
19644,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,145
18517,city_21,0.624,,No relevent experience,Full time course,Masters,STEM,<1,Oct-49,Pvt Ltd,1,22
12835,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,1,9
20178,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,13,,Public Sector,1,20
25855,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,50-99,Pvt Ltd,1,20
32126,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,4,130
22753,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,3
18133,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,1,,,1,23
29242,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,49
6312,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,270
113,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Pvt Ltd,1,23
14685,city_114,0.926,Male,No relevent experience,Full time course,Masters,STEM,3,Oct-49,Pvt Ltd,1,35
20768,city_90,0.698,Male,No relevent experience,Full time course,High School,,2,,,never,87
25906,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,1,37
20142,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1,158
25891,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,8
4742,city_149,0.689,,No relevent experience,no_enrollment,,,2,,,,114
2222,city_105,0.794,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,100-500,Pvt Ltd,1,15
16917,city_103,0.92,,No relevent experience,Full time course,High School,,1,,,1,48
10493,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,2,40
10418,city_76,0.698,Male,Has relevent experience,no_enrollment,,,7,100-500,Pvt Ltd,>4,91
9766,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,2,14
1361,city_103,0.92,Other,Has relevent experience,Full time course,Graduate,STEM,5,,,1,132
19625,city_97,0.925,Male,Has relevent experience,no_enrollment,High School,,7,50-99,Pvt Ltd,1,31
20943,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,8
9561,city_28,0.939,,Has relevent experience,no_enrollment,Masters,STEM,19,,,2,72
4271,city_13,0.827,,Has relevent experience,,Graduate,STEM,5,<10,Pvt Ltd,2,74
2094,city_64,0.666,Female,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,>4,43
16931,city_31,0.807,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,134
27298,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,Arts,5,<10,Early Stage Startup,never,18
26493,city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,8,,Public Sector,1,124
30745,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,3,80
21052,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,never,9
20723,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,Pvt Ltd,1,188
13539,city_143,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,2,182
3214,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,4,282
16230,city_103,0.92,,No relevent experience,Full time course,High School,,1,,,never,84
25300,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Early Stage Startup,1,59
24018,city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,3,Oct-49,Pvt Ltd,1,116
21833,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,>4,34
30632,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,2,64
4334,city_103,0.92,Male,Has relevent experience,,High School,,9,,,2,19
22271,city_100,0.887,Male,No relevent experience,Full time course,Graduate,Other,15,,,3,77
28776,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,56
27769,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,,,1,73
25909,city_67,0.855,,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,>4,30
31266,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,>4,66
7973,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,1,10
30867,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,100
22501,city_75,0.939,Male,Has relevent experience,no_enrollment,,,19,Oct-49,Pvt Ltd,>4,32
2539,city_13,0.827,Male,Has relevent experience,Full time course,Masters,STEM,10,10000+,Pvt Ltd,4,29
26681,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,3,8
16184,city_127,0.745,,No relevent experience,Full time course,High School,,1,,,never,77
3852,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,28
1680,city_19,0.682,Male,Has relevent experience,no_enrollment,Masters,STEM,19,1000-4999,,4,99
3562,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,41
8488,city_101,0.558,Male,Has relevent experience,Part time course,Masters,STEM,3,,,2,258
8373,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,3,144
2934,city_75,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,3,328
12919,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4,,,1,47
4386,city_21,0.624,Male,No relevent experience,Full time course,High School,,3,<10,Early Stage Startup,2,36
22462,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,NGO,1,30
13988,city_103,0.92,,Has relevent experience,Part time course,Masters,STEM,16,10000+,Pvt Ltd,>4,36
21230,city_103,0.92,,No relevent experience,no_enrollment,High School,,3,,,>4,41
26180,city_139,0.487,Male,No relevent experience,Full time course,Graduate,STEM,1,Oct-49,Pvt Ltd,never,64
16658,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,16,50-99,Pvt Ltd,1,55
10324,city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,>20,10000+,Pvt Ltd,2,12
20453,city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,never,4
13485,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,23
33080,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,32
25492,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,10
1319,city_71,0.884,Male,No relevent experience,Part time course,Graduate,STEM,<1,,,>4,18
19146,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,,1,43
29339,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,never,5
33177,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,8
22143,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,34
22264,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,6,,,1,58
17034,city_103,0.92,,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Other,never,48
27002,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,>4,58
21318,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,7
12308,city_143,0.74,,No relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Public Sector,>4,84
842,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,7,,,1,12
4926,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,1,,,never,22
3,city_99,0.915,,No relevent experience,Full time course,High School,,6,,Pvt Ltd,never,44
19567,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,1,42
12809,city_61,0.913,Male,Has relevent experience,no_enrollment,High School,,3,100-500,Pvt Ltd,1,48
22682,city_71,0.884,Male,No relevent experience,no_enrollment,Masters,STEM,2,1000-4999,Pvt Ltd,1,196
1216,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,80
4417,city_103,0.92,,No relevent experience,no_enrollment,,,,,,,99
24162,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,<1,<10,Pvt Ltd,1,48
16873,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,95
21920,city_16,0.91,Female,No relevent experience,no_enrollment,Phd,STEM,19,1000-4999,NGO,1,64
24230,city_21,0.624,,Has relevent experience,Full time course,Masters,No Major,<1,<10,Early Stage Startup,,17
5189,city_16,0.91,,No relevent experience,no_enrollment,High School,,<1,,,1,64
24396,city_70,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,2,54
770,city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,12
30913,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,19
14566,city_69,0.856,Female,Has relevent experience,Part time course,Graduate,STEM,7,500-999,Pvt Ltd,1,145
15634,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,No Major,11,100-500,Pvt Ltd,>4,50
18163,city_64,0.666,,Has relevent experience,no_enrollment,High School,,2,,,never,135
16673,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,<1,,,1,3
18805,city_16,0.91,Male,No relevent experience,no_enrollment,Phd,Humanities,>20,,,>4,27
15367,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,1,24
22556,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,Oct-49,Funded Startup,1,120
27439,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,15,,,1,61
18426,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,,1,23
9789,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,4
28172,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,139
9184,city_136,0.897,Male,Has relevent experience,Part time course,Masters,STEM,3,10000+,Pvt Ltd,1,34
3587,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,Humanities,7,,Pvt Ltd,4,21
1167,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,4,10
1663,city_134,0.698,,Has relevent experience,Part time course,Masters,STEM,>20,,,>4,15
20948,city_44,0.725,,Has relevent experience,no_enrollment,Masters,STEM,5,Oct-49,,,42
31594,city_41,0.827,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,>4,154
27117,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,8
678,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,84
1441,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,16,,,never,96
31272,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,4,56
12443,city_149,0.689,Male,Has relevent experience,no_enrollment,High School,,6,100-500,Pvt Ltd,1,270
32981,city_165,0.903,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,,,1,76
1317,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Funded Startup,1,48
4601,city_28,0.939,Male,No relevent experience,no_enrollment,Phd,STEM,>20,5000-9999,Pvt Ltd,2,9
30498,city_83,0.923,,No relevent experience,no_enrollment,Graduate,STEM,3,Oct-49,Public Sector,never,27
7863,city_165,0.903,,No relevent experience,no_enrollment,Graduate,STEM,13,,,3,40
8744,city_150,0.698,Male,No relevent experience,Full time course,High School,,1,,,never,72
14698,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,66
10021,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,22
15253,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Funded Startup,3,156
18108,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,5,10000+,Pvt Ltd,>4,95
31410,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,35
30532,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,500-999,Pvt Ltd,1,102
31733,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,,>4,51
28833,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,88
8708,city_74,0.579,Male,Has relevent experience,Part time course,Masters,STEM,3,50-99,Pvt Ltd,1,13
10050,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,>4,20
21685,city_114,0.926,,No relevent experience,no_enrollment,Phd,STEM,15,10000+,Pvt Ltd,1,91
18529,city_143,0.74,Male,Has relevent experience,Full time course,Graduate,STEM,6,Oct-49,Pvt Ltd,4,34
1850,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,1,100-500,Public Sector,1,20
22639,city_176,0.764,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,1,77
5967,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Oct-49,Pvt Ltd,>4,101
20977,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,1,178
5391,city_155,0.556,Male,No relevent experience,Full time course,Graduate,STEM,2,,,,29
4398,city_155,0.556,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,,3,200
18383,city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,15
17336,city_21,0.624,Male,No relevent experience,Full time course,High School,,2,,,never,72
7470,city_167,0.921,Male,Has relevent experience,Full time course,Graduate,STEM,7,100-500,Pvt Ltd,1,8
24781,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,76
24202,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,1,9
20650,city_73,0.754,,Has relevent experience,Part time course,Graduate,STEM,6,Oct-49,Pvt Ltd,3,68
5377,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,5,,Pvt Ltd,never,70
31693,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,51
28619,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,No Major,3,,,never,4
15432,city_114,0.926,,No relevent experience,no_enrollment,High School,,11,100-500,Pvt Ltd,>4,16
22999,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,9
8377,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,24
9302,city_149,0.689,,Has relevent experience,no_enrollment,Graduate,STEM,9,,,2,152
16158,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Funded Startup,3,72
29575,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,3,88
16573,city_28,0.939,Male,Has relevent experience,,Graduate,No Major,8,Oct-49,Pvt Ltd,2,138
30736,city_160,0.92,Male,No relevent experience,Full time course,High School,,2,,,1,48
20612,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,1,100-500,Pvt Ltd,never,128
11976,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,59
28302,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,1,138
9462,city_21,0.624,,No relevent experience,Part time course,,,1,,,never,204
14512,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,,1,125
8401,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Public Sector,2,7
19780,city_105,0.794,Female,Has relevent experience,no_enrollment,Masters,,,500-999,,1,53
2594,city_21,0.624,,No relevent experience,Full time course,High School,,2,,Pvt Ltd,never,12
1466,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,52
17205,city_114,0.926,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,,,never,24
12990,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,>4,67
4234,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,1,118
18171,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,29
15457,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,18
23319,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,,,never,9
10598,city_136,0.897,Male,Has relevent experience,no_enrollment,Phd,STEM,14,<10,Early Stage Startup,1,7
7788,city_21,0.624,Male,Has relevent experience,no_enrollment,High School,,10,,,never,73
32021,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,2,65
23969,city_30,0.698,Male,Has relevent experience,no_enrollment,,,>20,<10,Pvt Ltd,,67
13037,city_97,0.925,,Has relevent experience,no_enrollment,High School,,8,,,1,33
30196,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,<10,Early Stage Startup,1,56
19504,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,1,18
16336,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,>4,272
6048,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,2,29
6827,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,never,100
9268,city_160,0.92,Male,Has relevent experience,no_enrollment,,,>20,<10,Pvt Ltd,2,26
11169,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,13
31131,city_103,0.92,Female,No relevent experience,Part time course,Graduate,Other,3,5000-9999,Other,1,56
12361,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,<1,<10,Early Stage Startup,,23
15165,city_160,0.92,,No relevent experience,Part time course,Graduate,STEM,>20,,,,16
27773,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,200
15266,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,1,28
26289,city_89,0.925,Female,Has relevent experience,no_enrollment,Graduate,Humanities,3,<10,Pvt Ltd,2,12
32553,city_57,0.866,,No relevent experience,no_enrollment,Masters,STEM,12,,Pvt Ltd,never,26
33062,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,1,174
8818,city_103,0.92,,Has relevent experience,no_enrollment,Primary School,,7,100-500,Pvt Ltd,1,39
15380,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,4,71
30120,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,never,114
24317,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,,2,12
412,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,17,<10,Pvt Ltd,2,56
30607,city_149,0.689,Male,Has relevent experience,Full time course,Graduate,STEM,4,1000-4999,Pvt Ltd,2,46
8513,city_16,0.91,Male,Has relevent experience,Full time course,Masters,STEM,7,,,1,24
8596,city_41,0.827,,Has relevent experience,Full time course,High School,,4,100-500,Pvt Ltd,2,152
14539,city_69,0.856,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,1,20
20456,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,never,202
15221,city_114,0.926,Male,Has relevent experience,no_enrollment,,,2,,,never,10
28968,city_150,0.698,Male,Has relevent experience,Part time course,High School,,2,50-99,NGO,2,78
21648,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,20,1000-4999,Pvt Ltd,never,60
3210,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,Oct-49,Pvt Ltd,3,20
22118,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,6,,,2,82
5605,city_76,0.698,Other,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,3,194
30930,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,never,248
28718,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,68
8141,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,36
3486,city_165,0.903,Male,Has relevent experience,no_enrollment,Phd,STEM,14,100-500,Pvt Ltd,>4,61
8805,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,2,66
6602,city_162,0.767,,Has relevent experience,Full time course,Graduate,STEM,6,Oct-49,Pvt Ltd,1,119
14916,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Oct-49,Funded Startup,1,78
21636,city_36,0.893,,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,47
9047,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,174
6694,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,19,Oct-49,Pvt Ltd,>4,85
17793,city_74,0.579,,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,86
32857,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,7,10000+,Pvt Ltd,1,20
26325,city_21,0.624,Male,No relevent experience,,,,3,,,never,38
20907,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,5,,,2,212
12617,city_90,0.698,,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,2,77
24295,city_105,0.794,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,2,85
32409,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,500-999,NGO,1,57
16713,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,13,50-99,Pvt Ltd,>4,51
4863,city_107,0.518,Male,No relevent experience,Full time course,High School,,2,,Pvt Ltd,never,28
13274,city_101,0.558,Male,Has relevent experience,no_enrollment,High School,,3,,,never,14
